seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
42,1,20,3,3,0,0,0,3
42,2,20,6,5,0,6,1,4
42,3,20,10,9,0,7,0,10
42,4,4,12,11,0,7,2,5
42,5,8,9,11,0,4,7,5
42,6,8,7,12,0,7,6,4
43,1,20,3,3,0,0,0,3
43,2,20,6,5,0,8,1,4
43,3,20,8,7,0,7,2,8
43,4,11,11,10,0,4,1,4
43,5,8,12,12,0,9,3,5
43,6,7,8,13,0,4,8,4
44,1,20,3,3,0,0,0,3
44,2,20,7,7,0,7,0,4
44,3,20,7,11,10,6,4,4
44,4,20,9,12,0,7,2,6
44,5,20,7,12,0,4,6,5
44,6,20,8,15,0,6,3,4
45,1,20,3,3,0,0,0,3
45,2,20,5,5,0,6,2,4
45,3,20,9,9,13,9,0,5
45,4,20,9,9,0,10,4,4
45,5,20,6,9,0,4,7,4
45,6,20,9,11,0,6,1,6
46,1,20,3,4,0,0,0,3
46,2,20,6,5,0,9,1,4
46,3,20,6,9,0,6,4,6
46,4,18,9,9,0,4,1,4
46,5,19,11,10,0,6,2,5
46,6,20,9,11,0,10,6,4
47,1,20,3,4,0,0,0,3
47,2,20,7,5,0,13,0,4
47,3,20,8,7,0,7,3,8
47,4,20,8,9,0,4,4,4
47,5,20,10,10,0,6,2,5
47,6,20,10,11,0,19,4,5
48,1,20,3,3,0,0,0,3
48,2,20,5,5,0,7,2,4
48,3,20,9,9,13,8,0,5
48,4,20,10,12,1,4,3,7
48,5,17,10,13,0,4,4,5
48,6,17,8,13,0,12,6,4
49,1,20,3,2,0,3,0,3
49,2,20,6,4,0,4,1,4
49,3,20,8,7,16,10,2,6
49,4,18,9,10,0,6,3,4
49,5,18,12,12,0,10,1,8
49,6,11,14,13,0,4,2,4
50,1,20,3,4,0,0,0,3
50,2,20,7,5,0,4,0,4
50,3,20,9,8,16,17,2,7
50,4,20,10,9,0,4,3,4
50,5,20,14,11,0,6,0,9
50,6,20,13,12,0,4,5,4
51,1,20,3,3,0,0,0,3
51,2,20,5,5,0,11,2,4
51,3,20,9,7,0,4,0,9
51,4,20,8,10,0,4,5,5
51,5,20,7,10,0,15,5,6
51,6,20,8,11,0,4,3,4
52,1,20,3,3,0,0,0,3
52,2,20,6,5,0,4,1,4
52,3,20,10,10,0,7,0,10
52,4,20,8,11,0,8,6,4
52,5,20,8,11,0,4,4,5
52,6,20,9,14,0,10,3,5
53,1,20,3,3,0,0,0,3
53,2,20,6,5,0,9,1,4
53,3,20,10,7,19,10,0,7
53,4,20,11,10,0,7,3,4
53,5,20,15,11,0,4,0,9
53,6,8,17,12,0,9,2,4
54,1,20,3,4,0,0,0,3
54,2,20,5,5,0,8,2,4
54,3,20,7,6,10,7,2,4
54,4,20,8,9,0,6,3,4
54,5,20,11,10,0,7,1,5
54,6,20,8,12,0,4,7,5
55,1,20,3,4,0,0,0,3
55,2,20,5,5,0,9,2,4
55,3,20,9,8,0,6,0,9
55,4,20,6,8,0,9,7,4
55,5,20,9,11,0,4,1,5
55,6,20,9,13,0,7,4,4
56,1,20,3,2,0,2,0,3
56,2,20,6,4,0,7,1,4
56,3,20,8,11,0,4,2,8
56,4,20,6,11,0,4,6,4
56,5,20,9,12,0,4,1,5
56,6,20,8,12,0,9,5,4
57,1,20,3,4,0,0,0,3
57,2,20,7,5,0,4,0,4
57,3,20,7,8,10,11,4,4
57,4,20,9,9,0,7,2,6
57,5,20,10,10,0,7,3,6
57,6,20,6,11,0,4,8,4
58,1,20,3,3,0,0,0,3
58,2,20,5,5,0,7,2,4
58,3,20,9,9,13,6,0,5
58,4,20,10,9,1,9,3,4
58,5,20,12,11,0,4,2,6
58,6,20,6,11,0,7,10,5
59,1,20,3,3,0,0,0,3
59,2,20,7,7,0,4,0,4
59,3,20,11,10,21,13,0,8
59,4,20,11,10,0,9,4,4
59,5,20,15,12,0,7,0,9
59,6,8,17,14,0,4,2,4
60,1,20,3,1,0,2,0,3
60,2,20,7,3,0,11,0,4
60,3,20,11,4,0,4,0,11
